Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtUnfSF,TotalBsmtSF,HeatingQC,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,TotalBath,TotalHalfBath,HouseAge,RemodelledAge,GarageAge
1490,20,84.0,10440,6,5,0.0,4,3,5,3,54.0,1468.0,5,0,1468,2,1,4,6,1,4,2.0,528.0,3,3,0,102,0,0,216,0,0,0,5,3.0,0.0,5,5,5.0
1491,60,70.0,11920,7,5,122.0,4,3,4,3,831.0,831.0,5,0,1659,3,1,4,8,0,0,2.0,484.0,3,3,144,68,0,0,0,0,0,0,4,2.0,1.0,6,6,6.0
1492,30,70.0,9800,5,5,0.0,3,2,3,3,816.0,816.0,3,0,1012,2,1,3,5,0,0,1.0,429.0,3,3,121,0,80,0,0,0,0,0,4,1.0,0.0,90,60,90.0
1493,20,39.0,15410,6,6,250.0,3,4,3,3,223.0,1208.0,5,0,1494,3,1,3,7,2,2,2.0,461.0,3,3,296,0,186,0,0,0,0,0,4,3.0,0.0,36,8,36.0
1494,60,85.0,13143,8,5,504.0,4,3,4,3,0.0,1231.0,5,0,2349,4,1,4,9,1,3,3.0,762.0,3,3,32,130,0,0,0,0,0,0,6,3.0,1.0,17,17,17.0
1495,60,88.0,11134,8,5,180.0,4,3,4,3,261.0,1390.0,5,0,2225,4,1,4,7,1,3,3.0,713.0,3,3,198,30,0,0,0,0,0,0,6,3.0,1.0,18,17,18.0
1496,120,25.0,4835,7,5,0.0,4,3,5,3,190.0,1488.0,5,0,1488,2,1,4,6,1,4,2.0,506.0,3,3,168,50,0,0,0,0,0,0,3,3.0,0.0,6,5,6.0
1497,160,39.0,3515,7,5,0.0,4,3,4,3,840.0,840.0,5,0,1680,2,1,4,3,0,0,2.0,588.0,3,3,0,111,0,0,0,0,0,0,1,2.0,1.0,6,6,6.0
1498,160,30.0,3215,7,5,120.0,4,3,4,3,320.0,600.0,5,0,1200,2,1,4,4,0,0,2.0,480.0,3,3,0,172,0,0,0,0,0,0,4,2.0,1.0,6,6,6.0
1499,160,24.0,2544,7,5,0.0,4,3,4,3,190.0,600.0,5,0,1200,2,1,4,4,0,0,2.0,480.0,3,3,0,172,0,0,0,0,0,0,2,3.0,1.0,6,5,6.0
1500,160,24.0,2544,6,5,216.0,4,3,4,3,224.0,600.0,5,0,1236,2,1,4,4,0,0,2.0,480.0,3,3,0,166,0,0,0,0,0,0,5,3.0,1.0,5,5,5.0
1501,160,,2980,6,5,1159.0,4,3,4,3,290.0,756.0,5,0,1512,2,1,4,5,0,0,2.0,440.0,3,3,0,32,0,0,0,0,0,0,5,3.0,1.0,10,10,10.0
1502,160,,2403,7,5,0.0,4,3,4,3,286.0,530.0,5,0,1080,2,1,4,4,0,0,2.0,496.0,3,3,0,50,0,0,0,0,0,0,6,2.0,1.0,7,7,7.0
1503,20,57.0,12853,8,5,0.0,4,3,5,1,610.0,1642.0,5,0,1418,1,1,4,6,1,4,3.0,852.0,3,3,160,192,0,224,0,0,0,0,4,2.0,1.0,0,0,0.0
1504,60,68.0,7379,8,5,0.0,4,3,4,3,491.0,975.0,5,0,1848,3,1,4,7,1,3,2.0,592.0,3,3,280,184,0,0,0,0,0,0,4,3.0,1.0,10,10,10.0
1505,20,80.0,8000,7,5,0.0,4,3,4,3,659.0,1492.0,5,0,1492,3,1,4,6,1,4,2.0,596.0,3,3,277,137,0,0,0,0,0,0,4,3.0,0.0,8,8,8.0
1506,20,,10456,6,6,120.0,3,3,3,3,1323.0,1829.0,4,0,1829,4,1,3,8,0,0,2.0,535.0,3,3,0,76,0,0,0,0,0,0,5,3.0,0.0,43,43,43.0
1507,60,80.0,10791,6,5,0.0,3,3,4,3,143.0,1280.0,5,0,2495,4,1,4,9,1,3,2.0,660.0,3,3,224,32,0,0,0,0,0,0,3,3.0,1.0,17,17,17.0
1508,50,,18837,6,5,0.0,3,3,4,3,491.0,1224.0,3,0,1891,3,1,3,7,1,3,2.0,678.0,3,3,0,69,0,0,0,0,0,0,4,3.0,1.0,32,32,32.0
1509,60,80.0,9600,6,6,0.0,3,3,3,3,386.0,715.0,3,0,1645,4,1,3,7,0,0,2.0,441.0,3,3,0,78,0,0,0,0,0,0,6,1.0,2.0,39,39,39.0
1510,20,80.0,9600,5,5,172.0,3,3,3,3,534.0,1232.0,3,0,1232,3,1,3,6,0,0,2.0,490.0,3,3,0,224,0,0,0,0,0,0,4,2.0,1.0,44,44,44.0
1511,20,90.0,9900,5,5,0.0,3,3,4,3,150.0,1209.0,4,0,1209,3,1,3,6,0,0,2.0,504.0,3,3,0,0,120,0,0,0,0,0,4,2.0,0.0,44,44,44.0
1512,20,88.0,9680,5,6,268.0,3,3,3,3,500.0,1510.0,5,0,1510,3,1,4,6,0,0,2.0,517.0,3,3,0,40,0,0,204,0,0,0,4,3.0,0.0,43,43,43.0
1513,80,,10600,6,5,0.0,3,3,3,3,533.0,533.0,3,0,1775,3,1,3,8,0,0,2.0,480.0,3,3,0,172,0,0,0,0,0,0,5,2.0,0.0,46,46,46.0
1514,90,98.0,13260,5,6,144.0,3,3,3,3,228.0,1728.0,3,0,1728,6,2,3,10,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,48,9,
1515,50,68.0,9724,5,7,265.0,4,3,3,3,470.0,1140.0,4,0,2461,3,1,3,7,2,4,2.0,400.0,3,3,0,0,0,0,0,0,0,0,3,2.0,0.0,58,8,16.0
1516,50,120.0,17360,6,6,340.0,3,4,3,3,482.0,782.0,3,0,1556,3,1,3,6,1,4,2.0,470.0,3,3,0,0,150,0,0,0,0,0,1,2.0,0.0,61,60,61.0
1517,85,75.0,11380,6,8,216.0,3,3,3,3,136.0,1080.0,4,0,1128,2,1,4,5,1,4,1.0,315.0,3,3,238,0,0,0,0,0,0,1500,1,2.0,0.0,44,2,44.0
1518,90,70.0,8267,5,5,0.0,3,3,3,3,1604.0,1604.0,3,0,1604,4,2,3,8,0,0,2.0,576.0,3,3,42,0,0,0,0,0,0,0,3,2.0,0.0,52,52,52.0
1519,20,70.0,8197,7,5,506.0,4,3,4,3,292.0,1480.0,5,0,1480,3,1,4,7,0,0,2.0,620.0,3,3,252,73,0,0,0,0,0,300,2,3.0,0.0,7,1,7.0
1520,20,,8050,5,5,150.0,3,3,3,3,125.0,1143.0,3,0,1143,3,1,3,6,0,0,1.0,308.0,3,3,0,0,0,0,0,0,0,0,5,2.0,0.0,51,51,51.0
1521,20,87.0,10725,5,5,91.0,3,3,3,3,270.0,1206.0,2,0,1206,3,1,3,6,0,0,1.0,312.0,3,3,0,21,0,0,0,0,0,0,5,1.0,0.0,51,51,51.0
1522,20,80.0,10032,6,5,432.0,3,3,3,3,510.0,1244.0,5,0,1580,3,1,3,6,2,4,2.0,440.0,3,3,0,28,0,0,160,0,0,0,6,2.0,1.0,51,51,54.0
1523,50,60.0,8382,4,5,0.0,3,3,3,3,832.0,832.0,3,0,1337,3,1,3,5,0,0,1.0,263.0,3,3,0,0,0,0,0,0,0,0,2,1.0,0.0,54,54,54.0
1524,20,60.0,10950,5,7,0.0,3,3,3,3,525.0,864.0,3,0,1064,2,1,2,4,0,0,1.0,318.0,3,3,0,0,0,0,0,0,0,0,5,1.0,1.0,58,58,58.0
1525,20,119.0,10895,5,6,0.0,3,4,3,3,324.0,972.0,3,0,972,3,1,3,5,0,0,1.0,305.0,3,3,0,0,205,0,0,0,0,0,6,1.0,0.0,55,55,55.0
1526,190,70.0,13587,5,5,0.0,3,3,3,3,456.0,988.0,3,0,988,2,1,3,5,0,0,1.0,264.0,3,3,0,0,0,0,0,0,0,0,4,2.0,0.0,52,52,52.0
1527,30,65.0,7898,4,7,0.0,3,3,3,3,576.0,576.0,4,0,985,2,1,3,4,0,0,2.0,676.0,3,3,0,0,0,0,0,0,0,0,4,1.0,1.0,90,16,21.0
1528,50,60.0,8064,6,8,0.0,3,3,3,3,161.0,816.0,3,0,1224,3,1,3,5,0,0,1.0,280.0,3,3,414,0,0,0,0,0,0,0,5,2.0,0.0,62,6,60.0
1529,20,81.0,7635,5,6,0.0,3,3,3,3,237.0,1175.0,5,0,1175,3,1,3,6,0,0,2.0,484.0,3,3,0,0,0,0,0,0,0,0,6,1.0,1.0,50,50,50.0
1530,20,80.0,9760,6,7,218.0,3,3,3,3,415.0,1395.0,3,0,1395,2,1,3,7,1,3,2.0,440.0,3,3,657,0,113,0,240,0,0,0,5,2.0,0.0,47,26,47.0
1531,50,60.0,4800,4,5,771.0,3,3,3,3,661.0,709.0,3,0,1844,3,1,3,9,2,4,1.0,240.0,3,3,84,0,0,0,0,0,0,0,1,2.0,0.0,110,56,110.0
1532,30,56.0,4485,5,7,0.0,3,3,3,3,357.0,936.0,3,0,936,2,1,3,5,1,4,0.0,0.0,0,0,51,0,135,0,0,0,0,0,5,2.0,0.0,90,60,
1533,20,69.0,5805,5,7,0.0,3,3,3,3,0.0,1347.0,4,0,1347,3,1,4,6,0,0,2.0,551.0,3,3,0,0,0,0,0,0,0,0,6,2.0,1.0,53,53,53.0
1534,45,50.0,6900,6,7,0.0,3,3,4,3,827.0,827.0,4,0,1251,3,1,2,6,0,0,1.0,240.0,2,3,0,0,0,0,0,0,0,0,1,1.0,0.0,72,10,72.0
1535,50,69.0,11851,5,7,0.0,3,4,3,3,247.0,1027.0,5,0,1633,3,1,4,7,1,4,1.0,240.0,3,3,0,100,126,0,0,0,0,0,6,1.0,0.0,62,1,62.0
1536,50,,8239,5,6,0.0,3,3,3,3,832.0,1008.0,3,0,1245,3,1,3,6,0,0,1.0,315.0,3,3,0,0,334,0,0,0,0,0,3,1.0,0.0,90,48,48.0
1537,30,68.0,9656,2,2,0.0,3,2,2,2,678.0,678.0,3,0,832,2,1,3,5,1,4,2.0,780.0,2,2,0,0,0,0,0,0,0,0,6,1.0,0.0,87,40,82.0
1538,70,60.0,9600,8,9,0.0,4,4,3,3,930.0,930.0,3,0,1566,3,1,4,7,0,0,1.0,288.0,3,3,54,228,246,0,0,0,0,0,4,2.0,0.0,110,7,80.0
1539,70,50.0,9000,8,9,0.0,4,4,2,2,346.0,346.0,5,0,2268,3,1,4,7,0,0,2.0,624.0,3,3,0,108,0,0,0,0,0,0,4,3.0,0.0,120,8,7.0
1540,190,100.0,9045,5,3,0.0,3,2,3,3,840.0,840.0,2,0,2256,4,2,2,12,0,0,0.0,0.0,0,0,0,18,18,0,0,0,0,0,6,2.0,0.0,100,60,
1541,70,60.0,10560,6,7,0.0,3,3,2,3,455.0,738.0,5,0,1470,2,1,3,6,0,0,2.0,624.0,3,3,0,0,0,0,0,0,0,0,6,1.0,1.0,88,16,40.0
1542,50,53.0,5830,5,6,0.0,3,4,3,3,200.0,988.0,5,0,1612,3,1,3,7,0,0,1.0,363.0,3,3,0,0,0,0,0,0,0,0,3,1.0,1.0,60,13,60.0
1543,75,,7793,7,7,0.0,3,3,4,3,634.0,1108.0,3,0,2068,3,1,4,8,1,4,1.0,315.0,3,3,0,0,60,0,0,0,0,0,5,1.0,1.0,88,5,82.0
1544,30,50.0,5000,4,7,0.0,3,3,3,3,577.0,765.0,3,0,765,2,1,4,4,0,0,1.0,200.0,2,3,135,0,41,0,0,0,0,0,4,2.0,0.0,85,60,84.0
1545,50,50.0,6000,6,7,0.0,3,3,3,4,144.0,608.0,3,0,1132,2,1,3,5,0,0,1.0,240.0,3,3,0,0,128,0,0,0,0,0,4,2.0,0.0,71,60,71.0
1546,50,50.0,6000,6,6,0.0,3,4,3,3,308.0,572.0,5,0,1196,3,1,3,6,2,4,2.0,576.0,3,3,0,0,0,0,0,0,0,0,3,1.0,2.0,70,60,37.0
1547,50,53.0,6360,5,6,300.0,3,3,3,3,316.0,835.0,3,0,1453,3,1,4,7,2,2,1.0,240.0,3,3,0,0,35,0,148,0,0,0,3,1.0,1.0,68,60,68.0
1548,50,50.0,6000,6,7,0.0,3,3,3,3,480.0,780.0,3,0,1416,3,1,3,6,0,0,1.0,312.0,3,3,221,0,48,0,0,0,0,0,3,1.0,1.0,62,60,62.0
1549,50,52.0,6240,5,7,0.0,3,3,3,2,252.0,528.0,4,0,1040,2,1,3,5,0,0,2.0,624.0,3,3,306,0,32,0,0,0,0,0,5,1.0,0.0,74,30,31.0
1550,50,52.0,6240,5,5,0.0,3,3,3,3,480.0,928.0,3,0,1536,4,1,3,7,1,4,2.0,480.0,3,3,0,10,0,0,0,0,0,0,3,2.0,0.0,80,60,80.0
1551,30,51.0,6120,6,5,0.0,3,3,2,2,164.0,1124.0,3,0,1068,2,1,3,5,1,4,1.0,288.0,3,3,0,0,128,0,0,0,0,0,3,2.0,0.0,87,60,87.0
1552,50,57.0,8094,4,5,0.0,3,2,3,3,888.0,888.0,5,0,1962,4,1,3,9,1,3,2.0,572.0,3,3,160,0,364,0,0,0,0,0,6,1.0,1.0,95,60,95.0
1553,70,60.0,12900,6,8,0.0,4,4,3,3,780.0,780.0,5,0,1560,3,1,4,7,0,0,0.0,0.0,0,0,344,0,0,0,168,0,0,0,5,1.0,1.0,98,1,
1554,70,52.0,3068,6,8,0.0,3,4,3,3,662.0,662.0,5,0,1324,3,1,3,6,0,0,1.0,180.0,3,3,0,0,112,0,0,0,0,0,2,1.0,1.0,90,17,90.0
1555,20,100.0,15263,5,5,90.0,3,3,4,3,656.0,1422.0,4,0,1675,3,1,3,8,2,4,1.0,365.0,3,3,0,132,0,0,0,0,0,0,5,2.0,0.0,51,51,51.0
1556,50,72.0,10632,5,3,0.0,3,3,4,2,689.0,689.0,4,0,1224,3,1,0,6,0,0,1.0,180.0,2,2,0,0,248,0,0,0,0,0,1,1.0,1.0,93,60,93.0
1557,190,60.0,9900,5,4,0.0,2,2,3,3,186.0,1212.0,3,0,1392,3,1,3,6,0,0,0.0,0.0,0,0,0,0,168,0,0,0,0,0,2,2.0,0.0,95,60,
1558,50,65.0,6001,6,5,0.0,3,3,2,3,232.0,600.0,5,0,919,3,1,3,5,0,0,1.0,231.0,3,3,0,0,45,0,0,0,0,0,3,1.0,0.0,70,60,70.0
1559,70,,6449,4,1,0.0,3,3,3,3,634.0,707.0,3,0,1884,4,1,3,7,0,0,0.0,0.0,0,0,0,0,239,0,0,0,0,0,3,1.0,1.0,103,60,
1560,190,60.0,6048,5,7,0.0,3,4,3,3,120.0,856.0,4,0,1680,2,2,3,7,1,4,2.0,450.0,3,2,56,144,0,0,0,0,0,0,6,3.0,0.0,100,60,100.0
1561,90,72.0,10773,4,3,72.0,2,2,3,3,1128.0,1832.0,3,0,1832,4,2,3,8,0,0,0.0,0.0,0,0,0,58,0,0,0,0,0,0,5,4.0,0.0,43,43,
1562,20,65.0,7800,5,7,47.0,3,3,3,3,150.0,864.0,5,0,892,3,1,4,5,0,0,1.0,416.0,3,3,0,0,0,0,0,0,0,0,6,2.0,0.0,44,2,44.0
1563,20,65.0,7832,5,5,0.0,3,3,3,3,89.0,864.0,5,0,864,2,1,3,4,0,0,1.0,280.0,3,3,226,0,0,0,0,0,0,0,5,2.0,0.0,42,42,41.0
1564,90,,7424,5,5,0.0,3,3,4,3,0.0,1319.0,3,0,1373,3,1,3,5,2,3,2.0,591.0,3,3,0,0,0,0,0,0,0,0,5,2.0,0.0,32,32,32.0
1565,60,86.0,11227,5,5,0.0,3,4,3,4,0.0,720.0,5,0,1440,4,1,3,7,2,3,2.0,480.0,3,3,192,38,0,0,0,0,0,0,3,1.0,1.0,42,42,42.0
1566,20,,20062,7,7,0.0,4,4,4,3,328.0,1420.0,4,0,1483,1,1,3,4,2,3,2.0,690.0,3,3,496,0,0,0,0,0,0,0,4,2.0,1.0,33,9,33.0
1567,30,94.0,9259,4,4,0.0,3,3,2,3,660.0,660.0,3,0,756,2,1,3,4,0,0,2.0,440.0,3,3,80,0,0,0,0,0,0,0,6,1.0,0.0,83,60,65.0
1568,60,,17082,6,5,288.0,3,3,4,3,153.0,1117.0,5,0,1981,4,1,4,8,1,3,2.0,522.0,3,3,336,104,0,0,0,0,0,0,5,3.0,1.0,32,18,32.0
1569,50,124.0,18600,3,4,0.0,3,3,3,3,0.0,972.0,3,0,1610,4,1,2,8,1,4,1.0,480.0,3,3,0,0,60,0,0,0,0,450,6,2.0,1.0,72,20,72.0
1570,20,65.0,11479,6,7,0.0,3,3,3,3,172.0,663.0,5,0,1074,3,1,4,6,1,3,1.0,467.0,3,3,0,52,52,0,0,0,0,0,6,2.0,0.0,60,23,23.0
1571,50,50.0,9350,4,6,0.0,3,3,3,2,564.0,756.0,5,362,1531,3,1,3,8,1,3,1.0,209.0,2,3,0,0,0,0,0,0,0,0,6,1.0,0.0,63,31,63.0
1572,20,75.0,9525,5,7,0.0,3,3,3,3,218.0,1172.0,3,0,1172,3,1,3,5,0,0,1.0,366.0,3,3,240,0,0,0,0,0,0,0,6,2.0,0.0,56,12,56.0
1573,20,44.0,17485,7,5,96.0,4,3,4,3,162.0,1508.0,5,0,1508,1,1,4,5,2,3,2.0,572.0,3,3,0,0,0,0,0,0,0,0,1,2.0,0.0,1,0,1.0
1574,20,,11200,5,3,0.0,3,2,3,3,1250.0,1250.0,5,0,1298,3,1,3,5,0,0,2.0,504.0,3,2,0,144,0,0,0,0,0,0,6,2.0,0.0,46,46,46.0
1575,20,83.0,11980,7,5,177.0,4,3,4,3,0.0,1433.0,5,0,1433,1,1,4,4,2,3,2.0,528.0,4,4,0,278,0,0,266,0,0,0,6,2.0,1.0,23,23,23.0
1576,60,87.0,12361,6,7,85.0,4,4,4,3,86.0,946.0,5,0,1802,3,1,4,8,1,4,4.0,1017.0,3,3,450,92,0,0,0,0,0,0,5,2.0,2.0,17,17,10.0
1577,20,64.0,7360,7,5,80.0,4,3,4,3,1198.0,1222.0,5,0,1222,2,1,4,6,0,0,2.0,615.0,3,3,0,54,0,0,0,0,0,0,3,2.0,0.0,0,0,1.0
1578,50,82.0,14235,6,8,0.0,3,3,2,4,676.0,676.0,3,0,1445,3,1,3,6,0,0,2.0,484.0,3,3,0,59,0,0,0,0,0,0,3,2.0,0.0,110,17,53.0
1579,85,82.0,11105,5,5,0.0,3,4,4,2,0.0,870.0,4,0,965,2,1,3,4,0,0,2.0,580.0,4,3,71,0,0,0,0,0,0,0,7,2.0,0.0,14,14,12.0
1580,60,,9337,7,5,0.0,3,3,4,3,525.0,878.0,5,0,1692,3,1,3,8,1,3,2.0,513.0,3,3,0,39,0,0,0,0,0,0,4,2.0,1.0,13,12,13.0
1581,20,38.0,15240,5,8,0.0,4,4,4,3,140.0,1026.0,5,0,1026,3,1,3,5,0,0,1.0,308.0,3,3,316,85,0,0,0,0,0,0,6,2.0,1.0,33,6,33.0
1582,20,68.0,7480,5,6,0.0,3,3,3,3,396.0,876.0,3,0,876,3,1,3,5,0,0,2.0,484.0,3,3,0,0,0,0,0,0,0,0,6,2.0,0.0,38,38,33.0
1583,20,80.0,10389,8,5,320.0,4,3,4,3,296.0,1978.0,5,0,1978,3,1,4,8,1,4,3.0,850.0,3,3,188,25,0,0,0,0,0,0,5,3.0,1.0,7,7,7.0
1584,60,75.0,9375,7,5,0.0,4,3,4,3,1040.0,1040.0,5,0,2098,4,1,4,9,1,3,2.0,621.0,3,3,331,38,0,0,0,0,0,0,4,2.0,1.0,13,13,13.0
1585,120,,4435,6,5,170.0,4,3,4,3,176.0,848.0,5,0,848,1,1,4,4,0,0,2.0,420.0,3,3,140,0,0,0,0,0,0,0,4,2.0,0.0,7,7,7.0
1586,30,67.0,8777,3,6,0.0,3,4,0,0,0.0,0.0,3,0,640,2,1,3,5,0,0,1.0,240.0,3,3,0,0,0,0,0,0,0,0,4,1.0,0.0,65,3,65.0
1587,20,68.0,8842,5,6,0.0,3,4,2,3,381.0,381.0,5,0,992,3,1,3,6,0,0,1.0,319.0,3,3,60,0,56,0,0,0,0,0,1,1.0,0.0,56,56,56.0
1588,20,60.0,10044,5,6,0.0,3,3,4,3,126.0,1196.0,3,0,1196,3,1,3,6,0,0,1.0,336.0,3,3,257,0,168,0,0,0,0,0,6,2.0,0.0,42,42,42.0
1589,50,89.0,11792,4,5,0.0,3,3,3,3,744.0,744.0,5,0,1120,2,1,2,5,0,0,2.0,480.0,3,2,0,0,0,0,160,0,0,0,6,1.0,0.0,62,60,54.0
1590,80,65.0,6305,6,6,0.0,3,3,3,3,480.0,1008.0,3,0,1096,3,1,3,5,1,2,1.0,352.0,3,3,0,0,0,0,0,0,0,0,6,2.0,0.0,35,35,35.0
1591,20,64.0,6410,4,5,0.0,3,3,3,3,960.0,960.0,5,0,960,3,1,3,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,52,52,
1592,30,67.0,4853,5,6,203.0,3,3,3,3,974.0,1107.0,2,0,1296,2,1,2,5,1,4,1.0,260.0,3,3,0,0,36,0,0,0,0,0,5,2.0,0.0,86,11,31.0
